"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"RUSSIAN FEDERATION","SWEDEN",365,380,1992,0,0,1,1,0.236272869391975,0.018904424911882597,0.6896436391145704,0.002931110043725987,0.005079257752709808,0.017259712696352805,0.029908986088783406,"ACQ2","CAP1",0,1.,-0.982293,1.1114,-1.067451,1.036781,0.933105,0.081564,0.815907,0.773328,1.033984,-1.03131,1.02785,-1.956108,-0.875994,0.001675,-1.806925,-1.344527
2,"SWITZERLAND","UNITED STATES",225,2,1984,0,0,1,1,0.030508975602873474,0.404535358489597,0.03961945318477433,0.07676409808597011,0.1983077597015816,0.06984108677706181,0.18042326815814175,"ACQ1","SQ",0,1.,-1.281306,0.948001,-1.986576,1.012532,-0.624263,-0.218951,-0.912367,-1.265002,0.308728,-1.520654,0.511363,-1.595174,0.172402,-0.736031,0.300516,0.337776
3,"BELGIUM","RUSSIAN FEDERATION",211,365,1934,0,0,1,1,0.21102463617990264,0.13963247868589793,0.39077303805426644,0.034705728383902096,0.07912034631012926,0.04413257738343028,0.10061119500247144,"ACQ2","SQ",0,1.,-0.599805,1.308738,-1.209536,1.139804,0.14504,0.432865,-0.328759,-0.633624,1.058411,-0.804671,0.895871,-1.429171,-0.105084,0.151805,-0.892125,-0.579875
4,"GERMANY","BELGIUM",255,211,1936,0,0,1,1,0.06174476359253256,0.475761672011735,0.05312783978963675,0.1922850602363905,0.17132869044423357,0.024194412465771052,0.021557561459700468,"ACQ1","NEGO",0,0.9999999999999999,0.446258,0.7589,-0.102889,0.485873,0.587214,0.605581,0.039613,-0.234961,0.56053,0.248491,0.269757,-0.271352,0.398319,0.406398,-0.412298,-0.152376
5,"RUSSIAN FEDERATION","GERMANY",365,255,1936,0,0,1,1,0.13192052157289688,0.3010863476677225,0.17274097676372516,0.0600921767418051,0.15279407725512076,0.051194811844533596,0.130171088154196,"ACQ1","CAP2",0,1.,-0.764572,1.037086,-1.467119,0.989216,-0.228663,0.160934,-0.627807,-0.979081,1.420187,-0.423719,1.353287,-1.008025,0.342782,0.605581,-0.308424,-0.016271
6,"RUSSIAN FEDERATION","FRANCE",365,220,1941,0,0,1,1,0.21665019985312453,0.02071295430549201,0.6960870807963789,0.0016306044188121819,0.0029643277930853267,0.021985922648185476,0.03996891018492158,"ACQ2","WAR",0,1.,-1.001219,1.427093,-1.213451,1.189751,0.911728,0.301285,0.56827,0.462154,1.123904,-1.195707,1.077016,-2.040083,-0.83472,-0.048403,-1.725983,-1.303795
7,"FRANCE","GREECE",220,350,1940,0,0,1,1,0.36763739945408463,0.001677116294638223,0.6278214405775936,0.000012851417628792188,0.000018117866839149735,0.0011756494466939834,0.0016574249425215753,"ACQ2","WAR",0,0.9999999999999999,-0.38133,0.706037,-0.582098,0.568778,0.487728,0.171738,0.250086,0.149702,1.043207,-0.072867,1.021618,-0.947157,0.067435,0.517181,-0.828445,-0.391299
8,"TURKEY","RUSSIAN FEDERATION",640,365,1940,0,0,1,1,0.18489568425852992,0.2884367654179025,0.20572973004577916,0.037014166408617245,0.13201514472211567,0.03326504023970868,0.11864346890734685,"ACQ1","NEGO",0,1.,-1.335002,1.392888,-2.078665,1.381138,-0.635743,0.045838,-1.019325,-1.391157,1.438358,-1.310057,1.407073,-1.627543,0.565774,0.102794,0.217002,0.375745
9,"RUSSIAN FEDERATION","BELGIUM",365,211,1960,0,0,1,1,0.13049200832857102,0.025802656836756494,0.7044181800040723,0.0011799197241288578,0.0021774320049407136,0.047771657162919916,0.08815814593861068,"ACQ2","ACQ2",1,1.,-1.635671,1.427061,-2.083981,1.53796,0.054008,-0.201016,-0.059248,-0.283403,1.930244,-1.27824,1.951268,-2.173651,-0.942666,0.847896,-1.817052,-1.369347
10,"RUSSIAN FEDERATION","UNITED STATES",365,2,1978,0,0,1,1,0.46983819614161443,0.10719648649778529,0.34439049803763216,0.0319631045989622,0.04656100023884144,0.000020643245756721253,0.000030071239407712873,"SQ","ACQ1",0,0.9999999999999999,-1.273174,1.664342,-2.122254,1.610711,-0.829842,0.355355,-1.308012,-1.732552,0.950688,-1.589457,0.630895,-1.689529,0.696489,-0.475236,0.276622,0.326659
