"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"RUSSIAN FEDERATION","SWEDEN",365,380,1992,0,0,1,1,0.10408638310561058,0.11364391880154778,0.37396551042454995,0.03428414215514453,0.0673821477555503,0.10340514329883325,0.2032327544587636,"ACQ2","CAP1",0,1.,-0.982293,1.1114,-1.067451,1.036781,0.933105,0.081564,0.815907,0.773328,1.033984,-1.03131,1.02785,-1.956108,-0.875994,0.001675,-1.806925,-1.344527
2,"SWITZERLAND","UNITED STATES",225,2,1984,0,0,1,1,0.0772767826829855,0.301046661244096,0.12698436983993328,0.02664394886687859,0.10376828233815094,0.07442443400676488,0.2898555210211908,"ACQ1","SQ",0,1.,-1.281306,0.948001,-1.986576,1.012532,-0.624263,-0.218951,-0.912367,-1.265002,0.308728,-1.520654,0.511363,-1.595174,0.172402,-0.736031,0.300516,0.337776
3,"BELGIUM","RUSSIAN FEDERATION",211,365,1934,0,0,1,1,0.13558094481396554,0.22943779310840506,0.23585463020793884,0.038547259936040655,0.08443788335468588,0.08655108620897266,0.18959040236999136,"ACQ2","SQ",0,1.,-0.599805,1.308738,-1.209536,1.139804,0.14504,0.432865,-0.328759,-0.633624,1.058411,-0.804671,0.895871,-1.429171,-0.105084,0.151805,-0.892125,-0.579875
4,"GERMANY","BELGIUM",255,211,1936,0,0,1,1,0.256843750016308,0.2503573135020115,0.24955059433827773,0.06454705729821882,0.06011236837531753,0.061403825221851005,0.05718509124801539,"SQ","NEGO",0,1.,0.446258,0.7589,-0.102889,0.485873,0.587214,0.605581,0.039613,-0.234961,0.56053,0.248491,0.269757,-0.271352,0.398319,0.406398,-0.412298,-0.152376
5,"RUSSIAN FEDERATION","GERMANY",365,255,1936,0,0,1,1,0.1384453199675111,0.25193566747936125,0.21619623384625494,0.03509447511494663,0.08590005937420558,0.07901783562103429,0.19341040859668618,"ACQ1","CAP2",0,1.,-0.764572,1.037086,-1.467119,0.989216,-0.228663,0.160934,-0.627807,-0.979081,1.420187,-0.423719,1.353287,-1.008025,0.342782,0.605581,-0.308424,-0.016271
6,"RUSSIAN FEDERATION","FRANCE",365,220,1941,0,0,1,1,0.09450135027656568,0.12176851263519563,0.3424589779182253,0.03303311840132594,0.07227441533119384,0.1053858714971341,0.2305777539403595,"ACQ2","WAR",0,1.,-1.001219,1.427093,-1.213451,1.189751,0.911728,0.301285,0.56827,0.462154,1.123904,-1.195707,1.077016,-2.040083,-0.83472,-0.048403,-1.725983,-1.303795
7,"FRANCE","GREECE",220,350,1940,0,0,1,1,0.1757586111347408,0.19567826904040828,0.2974270645899281,0.0452043729514514,0.07876304042056657,0.07554346981906356,0.13162517204384125,"ACQ2","WAR",0,1.,-0.38133,0.706037,-0.582098,0.568778,0.487728,0.171738,0.250086,0.149702,1.043207,-0.072867,1.021618,-0.947157,0.067435,0.517181,-0.828445,-0.391299
8,"TURKEY","RUSSIAN FEDERATION",640,365,1940,0,0,1,1,0.07043881085777062,0.3161316944053364,0.1117758431283856,0.022937458672023868,0.10942505396135614,0.06399546268548575,0.3052956762896416,"ACQ1","NEGO",0,0.9999999999999999,-1.335002,1.392888,-2.078665,1.381138,-0.635743,0.045838,-1.019325,-1.391157,1.438358,-1.310057,1.407073,-1.627543,0.565774,0.102794,0.217002,0.375745
9,"RUSSIAN FEDERATION","BELGIUM",365,211,1960,0,0,1,1,0.07493103808294778,0.08140589024398824,0.4043609557206529,0.020182770171906474,0.04409304963715123,0.11775920658760712,0.2572670895557463,"ACQ2","ACQ2",1,1.,-1.635671,1.427061,-2.083981,1.53796,0.054008,-0.201016,-0.059248,-0.283403,1.930244,-1.27824,1.951268,-2.173651,-0.942666,0.847896,-1.817052,-1.369347
10,"RUSSIAN FEDERATION","UNITED STATES",365,2,1978,0,0,1,1,0.07147151051833138,0.339671146038592,0.10236477082708535,0.03309165318348867,0.10779196731698713,0.08117885911710336,0.2644300929984121,"ACQ1","ACQ1",1,1.,-1.273174,1.664342,-2.122254,1.610711,-0.829842,0.355355,-1.308012,-1.732552,0.950688,-1.589457,0.630895,-1.689529,0.696489,-0.475236,0.276622,0.326659
11,"GERMANY","FRANCE",255,220,1832,0,0,1,1,0.09062684455688517,0.301704077493156,0.14036908123793623,0.02716085358268778,0.1039456697213746,0.06964795859555761,0.26654551481240263,"ACQ1","CAP1",0,1.,-1.175486,1.423024,-1.945902,1.380327,-0.578911,0.185979,-1.006817,-1.392025,1.445143,-1.160722,1.338786,-1.588844,0.329515,0.214708,-0.204964,0.009097
12,"UNITED KINGDOM","SWEDEN",200,380,1915,0,0,1,1,0.0974909111266403,0.11721363517729369,0.3565791717147028,0.03515030488707213,0.07300909665940922,0.10417653869962065,0.2163803417352612,"ACQ2","CAP2",0,1.,-0.959089,1.404492,-1.10452,1.141256,1.060754,0.308034,0.724802,0.652086,1.003114,-1.210468,0.967673,-2.095414,-0.955788,-0.135367,-1.876176,-1.433702
13,"CROATIA","BOSNIA AND HERZEGOVINA",344,346,1992,0,0,1,1,0.23403895589324128,0.2889768874773505,0.21344071199783057,0.05008020157601259,0.061878331039822876,0.06780548808797776,0.08377942392776441,"ACQ1","WAR",0,1.,-0.175241,0.212433,-1.103048,0.211082,-0.147254,0.018723,-0.612509,-1.076413,0.237107,-0.152495,0.219759,-0.225962,0.208484,0.042598,0.11767,0.154403
14,"RUSSIAN FEDERATION","HUNGARY",365,310,1941,0,0,1,1,0.1458357677233913,0.2247009300295218,0.24774405475519007,0.03507037877751745,0.07964238799415499,0.08163013305701701,0.1853763476632074,"ACQ2","WAR",0,1.,-0.740809,1.229832,-1.444378,1.140522,-0.15665,0.301285,-0.597745,-0.94953,1.621433,-0.328626,1.540152,-1.058845,0.197464,0.825707,-0.614035,-0.248926
15,"GERMANY","LUXEMBOURG",255,212,1939,0,0,1,1,0.0960248090660894,0.10823537598792204,0.3740854527095869,0.03374980731990101,0.06823895210185749,0.10578276040381504,0.2138828424108281,"ACQ2","WAR",0,1.,-1.028498,1.283308,-1.136678,1.129892,1.033217,0.172026,0.825711,0.771621,1.176192,-1.097535,1.162075,-2.015471,-0.910943,0.052304,-1.842996,-1.384029
16,"ITALY","RUSSIAN FEDERATION",325,365,1980,0,0,1,1,0.08442447418204427,0.3460050878364253,0.11171557202236035,0.029939040653168252,0.10991578219018462,0.068074993947241,0.24992504916857622,"ACQ1","ACQ2",0,1.,-1.301457,1.847502,-2.180617,1.773357,-0.920937,0.613588,-1.434663,-1.874243,1.470566,-1.551918,1.104525,-1.955359,0.251171,-0.075927,-0.518311,-0.316591
17,"TURKEY","CYPRUS",640,352,1988,0,0,1,1,0.08666617642478631,0.12171077254891909,0.32924439742531125,0.030232963895622692,0.0713574585126173,0.1073693494824081,0.2534188817103352,"ACQ2","WAR",0,1.,-1.078438,1.315921,-1.297671,1.187254,0.791,0.164795,0.552717,0.443101,0.946451,-1.282022,0.907478,-2.04553,-0.755005,-0.220392,-1.557485,-1.175731
18,"BULGARIA","TURKEY",355,640,1987,0,0,1,1,0.06984780769043313,0.19780150019482662,0.19111983030688467,0.021347319959182192,0.08698473772629814,0.08530465938695335,0.34759414473542183,"WAR","CAP2",0,1.,-1.448181,1.595227,-2.05192,1.539734,-0.242198,0.140042,-0.599561,-0.901431,1.591179,-1.450405,1.534147,-2.043162,-0.211742,0.133844,-0.86153,-0.565152
19,"BULGARIA","TURKEY",355,640,1915,0,0,1,1,0.24679491326238476,0.23199284469837014,0.2686629470503552,0.06225206140637721,0.0809160926148931,0.04756086680564605,0.06182027416197353,"ACQ2","ACQ2",1,1.,0.314002,0.649991,0.273067,0.185169,0.636238,0.484662,0.150948,0.130481,0.084456,-0.227002,0.06721,-1.191418,-0.215919,-0.071586,-1.197582,-0.715373
