"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"ESTONIA","UNITED KINGDOM",366,200,1939,7.85398,3.14159,1,1,0.120991558082219,0.11243092025955632,0.18493308152296603,0.1001235053887958,0.05713527918585934,0.06869530865422539,0.25356644762095615,0.10212389928542209,"WAR1","SQ",0,1.,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,"FRANCE","CHILE",220,155,1859,7.85398,3.14159,1,1,0.21300395916694764,0.012484685600989536,0.4263684999980858,0.09154064348422146,0.013502619099334775,0.07272518202567864,0.0788695882917506,0.09150482233299166,"ACQ2","SQ",0,1.,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,"ARGENTINA","FRANCE",160,220,1907,7.85398,3.14159,1,1,0.12593614339082293,0.23262283035051515,0.054823945755032154,0.11308222012494548,0.08662015000061343,0.026576197660615475,0.25796321323732974,0.1023752994801258,"WAR1","SQ",0,1.0000000000000002,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,"SINGAPORE","UNITED STATES",830,2,1982,7.85398,3.14159,1,1,0.11627493255924583,0.14315184190328886,0.11388149879684621,0.12473123005381201,0.06538944518859174,0.050847078366664404,0.27320533762368876,0.11251863550786216,"WAR1","SQ",0,1.,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,"MALI","MAURITANIA",432,435,1984,7.85398,3.14159,1,1,0.2678551875747072,0.08910584075519125,0.338076548905436,0.06400764816915099,0.03941525147097095,0.06794294024112589,0.06848119888904812,0.06511538399436963,"ACQ2","SQ",0,1.,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,"URUGUAY","RUSSIAN FEDERATION",165,365,1882,7.85398,3.14159,1,1,0.1165554091671146,0.13178914302605105,0.10477496349798521,0.11454165009290887,0.06570974546894517,0.04475519769873967,0.28843985451665755,0.13343403653159805,"WAR1","SQ",0,1.,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,"None","POLAND",315,290,1924,7.85398,3.14159,1,1,0.16947126162757695,0.11908339175033188,0.29459911503078245,0.08685997799206431,0.050219572712715495,0.08985431761623978,0.1306341496819601,0.05927821358832899,"ACQ2","SQ",0,1.,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,"CHINA","SOUTH AFRICA",710,560,1961,7.85398,3.14159,1,1,0.1585228579430781,0.05283849762026738,0.34407980167400526,0.08681812895067544,0.03569506037447512,0.08686361963714338,0.1408756094211641,0.09430642437919126,"ACQ2","SQ",0,1.,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,"UNITED KINGDOM","EGYPT",200,651,1938,7.85398,3.14159,1,1,0.2341731057163305,0.09449566400148336,0.3180985981311207,0.06715327523858505,0.04225018450767304,0.07373495903360927,0.09246609429058432,0.0776281190806138,"ACQ2","SQ",0,1.,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,"SRI LANKA","FRANCE",780,220,1973,7.85398,3.14159,1,1,0.11677816602739825,0.14729464819939514,0.1109373548635798,0.1253145125067609,0.06624047616608837,0.04994245143442306,0.27258087831988814,0.11091151248246618,"WAR1","SQ",0,0.9999999999999999,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
11,"SPAIN","FRANCE",230,220,1838,7.85398,3.14159,1,1,0.27305917596810964,0.1417318131686148,0.28533595072476553,0.10202110543403986,0.03843881114900281,0.08249707887269819,0.04443164252581121,0.03248442215695792,"ACQ2","SQ",0,1.,0.788579,0.790666,0.002292,0.621914,0.789025,0.789623,0.227129,-0.166015,0.717413,0.715308,0.096948,0.501082,0.716962,0.716361,-0.117729,-0.010616
12,"KENYA","SUDAN",501,625,1972,7.85398,3.14159,1,1,0.18330830790863128,0.01957484378860947,0.3527711658037314,0.1001623916364286,0.016336617749868432,0.08062235453175942,0.12988779502545958,0.11733652355551182,"ACQ2","SQ",0,1.,-1.109804,0.937469,-1.194783,1.035809,0.763493,-0.107473,0.819344,0.776854,0.085226,-1.477795,0.115907,-2.192313,-1.031581,-0.801575,-1.715418,-1.358159
13,"PANAMA","COSTA RICA",95,94,1963,7.85398,3.14159,1,1,0.27336753797082947,0.14110217851825732,0.2906255045970106,0.09566405013333384,0.0535827495690175,0.06062135410034477,0.04729701609795968,0.037739609013246814,"ACQ2","SQ",0,1.,0.600148,0.602268,0.185232,0.250511,0.601389,0.601208,0.042173,-0.165285,0.655734,0.65362,0.406658,0.067913,0.654496,0.654677,-0.180287,0.112566
14,"CHILE","GERMANY",155,255,1940,7.85398,3.14159,1,1,0.13414215610060692,0.029475830097708957,0.13328320121927587,0.10747853745256339,0.024466982627105106,0.047820166169494714,0.32408228089118035,0.19925084544206478,"WAR1","SQ",0,1.,-1.620601,0.42347,-1.876093,0.998884,-0.098775,-0.772879,0.348893,0.221147,1.530574,-1.180293,1.9551,-1.631013,0.308731,0.278616,0.282537,0.507897
15,"HONDURAS","FRANCE",91,220,1915,7.85398,3.14159,1,1,0.1304582183709289,0.2552079246859702,0.0476017735701583,0.13016847645414856,0.0830844509202077,0.024485124605170324,0.24318385791450844,0.0858101734789076,"ACQ1","SQ",0,1.0000000000000002,-1.155913,1.176447,-2.14199,1.176254,-1.123439,0.013904,-1.616671,-2.10971,1.208076,-1.137432,1.194386,-1.152808,1.172011,0.048064,1.142944,1.150632
16,"NEW ZEALAND","UNITED KINGDOM",920,200,1978,7.85398,3.14159,1,1,0.14012541456033017,0.11738658562659517,0.20898965277304252,0.10762068485970623,0.05558252069552407,0.07676797075621238,0.20564132402412655,0.0878858467044629,"ACQ2","SQ",0,1.,-0.69389,1.087756,-1.398229,1.019164,-0.167128,0.231994,-0.587889,-0.940059,0.589691,-1.026771,0.424577,-1.315056,0.123689,-0.248997,-0.32971,-0.185568
