"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"SYRIAN ARAB REPUBLIC","ISRAEL",652,666,1950,1.5708,0,1,1,0.11334587574891188,0.18171459838510806,0.07471356791526548,0.125170778184119,0.07551500459902066,0.035539604536115856,0.28060295408993924,0.11339761654151972,"WAR1","WAR1",1,1.,-1.225949,1.120409,-2.057816,1.132476,-0.831447,-0.07177,-1.235313,-1.651247,0.985208,-1.292115,1.048338,-1.412502,0.711048,-0.204521,0.653791,0.713984
2,"AUSTRIA","HUNGARY",305,310,1960,1.5708,0,1,1,0.12350953233512983,0.09894043776724912,0.14778687845178995,0.10625439597273507,0.05519209414993239,0.05595756661605228,0.2755622799327409,0.13679681477437042,"WAR1","ACQ2",0,0.9999999999999999,-1.229823,0.825424,-1.836639,0.925012,-0.421734,-0.253288,-0.625553,-0.928962,1.230009,-1.000341,1.392592,-1.358452,0.431296,0.151053,0.235768,0.414824
3,"EGYPT","UNITED STATES",651,2,1964,1.5708,0,1,1,0.11694468018308184,0.023423814161383668,0.049908254740531906,0.12501538415181968,0.0202958447996234,0.02147343895645132,0.40038948026314414,0.2425491027439641,"WAR1","CAP2",0,1.,-1.894153,1.151587,-2.247667,1.663348,0.074875,-0.791604,0.409878,0.233121,1.947349,-1.711377,2.467745,-2.053982,0.693849,0.534975,0.871639,1.042942
4,"ETHIOPIA","ITALY",530,325,1931,1.5708,0,1,1,0.14356614592199057,0.23211777157402555,0.07717330596167453,0.11077860142250193,0.08161165913074717,0.0364363489606007,0.23467765089701875,0.08363851613144088,"WAR1","ACQ2",0,1.,-1.049287,0.775527,-2.036941,0.77753,-1.026757,-0.162214,-1.518582,-2.012409,0.528694,-1.180403,0.690157,-1.185034,0.520779,-0.37872,0.677612,0.679927
5,"","HUNGARY",345,310,1991,1.5708,0,1,1,0.13700143797605574,0.22950296961638336,0.05756276958064193,0.12178501478639414,0.08171236310198651,0.028267414855310164,0.25098363121372985,0.09318439886949828,"WAR1","NEGO",0,1.,-1.161211,1.15315,-2.104579,1.153458,-1.030143,-0.005426,-1.50152,-1.973204,1.471667,-0.943026,1.476563,-1.040724,1.235756,0.374136,1.142954,1.191803
6,"UNITED KINGDOM","ETHIOPIA",200,530,1970,1.5708,0,1,1,0.13638444412168832,0.07488154000083454,0.2637597568280239,0.12089829019668129,0.04241040879414666,0.08985152325337396,0.18093295827452482,0.09088107853072644,"ACQ2","SQ",0,1.,-0.699946,1.574118,-1.24416,1.299788,0.336541,0.601882,-0.209895,-0.482002,0.266008,-1.454278,-0.110688,-1.828414,-0.377614,-0.702091,-1.128446,-0.941378
7,"EGYPT","LIBYAN ARAB JAMAHIRIYA",651,620,1980,1.5708,0,1,1,0.15420654086744282,0.03817011719882106,0.23920417246453582,0.09670309987481213,0.027990131799447128,0.07106643894151587,0.22561797643547732,0.14704152241794782,"ACQ2","NEGO",0,1.,-1.325708,0.531947,-1.615368,0.871241,-0.00614,-0.47765,0.188325,0.043495,1.074371,-1.054869,1.286039,-1.611725,-0.111309,0.012429,-0.456497,-0.178069
8,"SPAIN","PORTUGAL",230,235,1840,1.5708,0,1,1,0.14678530430195103,0.14785683436536948,0.19766102194870802,0.09308929813231036,0.05889161367852343,0.07652419981748614,0.21293309923861592,0.06625862851703575,"WAR1","NEGO",0,1.,-0.646827,1.571251,-1.572783,1.524883,-0.482592,0.626222,-0.991938,-1.454916,1.582143,-0.634262,1.179135,-0.990707,0.792117,0.643036,0.032664,0.210886
9,"GUINEA","CTE D'IVOIRE",438,437,1966,1.5708,0,1,1,0.09252510616277072,0.1086165357300348,0.08341023599466682,0.09853239311821889,0.06181467843258212,0.03883866526126752,0.3341407387670134,0.1821216465334458,"WAR1","WAR1",1,1.,-1.451697,0.153926,-1.99318,0.498253,-0.715491,-0.750958,-0.641905,-0.912646,0.203601,-1.433792,0.88029,-1.532691,0.041665,-0.714868,0.619455,0.668904
10,"LIBYAN ARAB JAMAHIRIYA","EGYPT",620,651,1979,1.5708,0,1,1,0.2538430954394563,0.1512522738116639,0.26159592689915634,0.07735659098136373,0.05201391980153864,0.07201157528213706,0.07837969283959238,0.05354692494509165,"ACQ2","NEGO",0,1.,-0.11299,-0.111044,-0.858108,-0.082493,-0.112494,-0.112017,-0.456502,-0.829061,-0.540094,-0.541757,-0.456596,-0.796355,-0.540517,-0.540926,-0.711617,-0.584318
11,"BRAZIL","ARGENTINA",140,160,1872,1.5708,0,1,1,0.26468592593909185,0.1223014866828206,0.30637321124527495,0.07630179617610246,0.05030576270468287,0.0630833407697664,0.06399325719826063,0.0529552192840003,"ACQ2","ACQ1",0,1.,-0.064672,-0.062702,-0.282923,-0.012915,-0.063132,-0.063687,-0.12247,-0.231596,-0.196727,-0.198626,-0.182821,-0.980277,-0.198211,-0.197677,-0.965956,-0.575131
12,"FRANCE","GERMANY",220,255,1921,1.5708,0,1,1,0.16050699271361482,0.04252081097591063,0.3543953133808337,0.0809844467320531,0.029938724797372494,0.08700820907967131,0.1473972718997015,0.09724823042084244,"ACQ2","CAP2",0,1.,-0.946789,1.315383,-1.362547,1.171842,0.374867,0.245688,0.023447,-0.184433,1.194474,-1.030933,1.129056,-1.764668,-0.438386,0.107277,-1.237539,-0.870671
