"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"RUSSIAN FEDERATION","SWEDEN",365,380,1992,3.92699,3.14159,1,1,0.04333996062694937,0.0008146059263364044,0.2504827916991321,0.17957898235868844,0.045830891154383005,0.1700564437042913,0.1854742077072499,0.12442211682296943,"ACQ2","CAP1",0,0.9999999999999999,-0.982293,1.1114,-1.067451,1.036781,0.933105,0.081564,0.815907,0.773328,1.033984,-1.03131,1.02785,-1.956108,-0.875994,0.001675,-1.806925,-1.344527
2,"SWITZERLAND","UNITED STATES",225,2,1984,3.92699,3.14159,1,1,0.011230401077398009,0.0241736302620288,0.03203263824153605,0.22103378712530547,0.1332400181783404,0.0905682972692838,0.28211967431073104,0.20560155353537637,"WAR1","SQ",0,0.9999999999999999,-1.281306,0.948001,-1.986576,1.012532,-0.624263,-0.218951,-0.912367,-1.265002,0.308728,-1.520654,0.511363,-1.595174,0.172402,-0.736031,0.300516,0.337776
3,"BELGIUM","RUSSIAN FEDERATION",211,365,1934,3.92699,3.14159,1,1,0.026336216471098236,0.014017849203636024,0.1930292310414312,0.17102205902689915,0.09696394408654278,0.15358518763130666,0.21083792382363556,0.1342075887154503,"WAR1","SQ",0,1.,-0.599805,1.308738,-1.209536,1.139804,0.14504,0.432865,-0.328759,-0.633624,1.058411,-0.804671,0.895871,-1.429171,-0.105084,0.151805,-0.892125,-0.579875
4,"GERMANY","BELGIUM",255,211,1936,3.92699,3.14159,1,1,0.08267178829233579,0.04812580493943585,0.12980752504919443,0.18174556191043215,0.13857668636054338,0.15110598904150632,0.13939983563134342,0.1285668087752086,"NEGO","NEGO",1,1.,0.446258,0.7589,-0.102889,0.485873,0.587214,0.605581,0.039613,-0.234961,0.56053,0.248491,0.269757,-0.271352,0.398319,0.406398,-0.412298,-0.152376
5,"RUSSIAN FEDERATION","GERMANY",365,255,1936,3.92699,3.14159,1,1,0.04266145321604642,0.016403802394101857,0.15266932200383668,0.15877020625979998,0.11729604508236444,0.14220927826747706,0.21476585336019702,0.15522403941617646,"WAR1","CAP2",0,1.,-0.764572,1.037086,-1.467119,0.989216,-0.228663,0.160934,-0.627807,-0.979081,1.420187,-0.423719,1.353287,-1.008025,0.342782,0.605581,-0.308424,-0.016271
6,"RUSSIAN FEDERATION","FRANCE",365,220,1941,3.92699,3.14159,1,1,0.030809270991535135,0.0016219794920238337,0.24176324246435665,0.17646100570235104,0.04980532473187995,0.1704490129853627,0.20494505291921633,0.12414511071327422,"ACQ2","WAR2",0,0.9999999999999999,-1.001219,1.427093,-1.213451,1.189751,0.911728,0.301285,0.56827,0.462154,1.123904,-1.195707,1.077016,-2.040083,-0.83472,-0.048403,-1.725983,-1.303795
7,"FRANCE","GREECE",220,350,1940,3.92699,3.14159,1,1,0.048858357557855565,0.018190166545729212,0.2237450760393062,0.15207808945922727,0.0980558403785232,0.1503586748912372,0.16094812325394187,0.14776567187417944,"ACQ2","WAR2",0,1.,-0.38133,0.706037,-0.582098,0.568778,0.487728,0.171738,0.250086,0.149702,1.043207,-0.072867,1.021618,-0.947157,0.067435,0.517181,-0.828445,-0.391299
8,"TURKEY","RUSSIAN FEDERATION",640,365,1940,3.92699,3.14159,1,1,0.013320930479199529,0.0359630649916819,0.028782404164621182,0.22280661738380353,0.1340002622653102,0.09009770232240119,0.2722657488059472,0.20276326958703536,"WAR1","NEGO",0,1.,-1.335002,1.392888,-2.078665,1.381138,-0.635743,0.045838,-1.019325,-1.391157,1.438358,-1.310057,1.407073,-1.627543,0.565774,0.102794,0.217002,0.375745
9,"RUSSIAN FEDERATION","BELGIUM",365,211,1960,3.92699,3.14159,1,1,0.046216827267580585,0.0008944611281124005,0.28436057178667756,0.14965822781243676,0.03978082831720977,0.16808910024665466,0.20675368463369515,0.10424629880763317,"ACQ2","ACQ2",1,1.,-1.635671,1.427061,-2.083981,1.53796,0.054008,-0.201016,-0.059248,-0.283403,1.930244,-1.27824,1.951268,-2.173651,-0.942666,0.847896,-1.817052,-1.369347
10,"RUSSIAN FEDERATION","UNITED STATES",365,2,1978,3.92699,3.14159,1,1,0.014810733154006484,0.06430816986622727,0.01903996823069711,0.26511347413768205,0.14010145624209974,0.07651392781852409,0.24333231056191645,0.1767799599888468,"NEGO","ACQ1",0,1.,-1.273174,1.664342,-2.122254,1.610711,-0.829842,0.355355,-1.308012,-1.732552,0.950688,-1.589457,0.630895,-1.689529,0.696489,-0.475236,0.276622,0.326659
