"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"ESTONIA","UNITED KINGDOM",366,200,1939,0.,2.356194490192345,1,1,0.02137426341719924,0.018456636090747765,0.049935595244376345,0.176179779562664,0.11521177940264882,0.13313745771074803,0.30703301898798535,0.17867146958363048,"WAR1","SQ",0,1.,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,"FRANCE","CHILE",220,155,1859,0.,2.356194490192345,1,1,0.06742948269680783,0.0002316486087908052,0.2701747133755139,0.16812404546617182,0.03381041002561794,0.14158568343390626,0.1505678593115911,0.16807615708160029,"ACQ2","SQ",0,1.,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,"ARGENTINA","FRANCE",160,220,1907,0.,2.356194490192345,1,1,0.023015710362323746,0.07852867605895912,0.0043617842777887205,0.19067964621640268,0.157652713753502,0.060375954553209384,0.3074946631351116,0.1778908516427028,"WAR1","SQ",0,1.,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,"SINGAPORE","UNITED STATES",830,2,1982,0.,2.356194490192345,1,1,0.019450052665935882,0.029481017582132715,0.01865756389523542,0.20201689693365937,0.1262549137809217,0.10336515659235647,0.31239419357532516,0.18838020497443328,"WAR1","SQ",0,1.,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,"MALI","MAURITANIA",432,435,1984,0.,2.356194490192345,1,1,0.11812216692633895,0.013072047775448124,0.18817476167575245,0.1420984528558195,0.09590355588676477,0.14885113572578346,0.14976244472457775,0.144015434429515,"ACQ2","SQ",0,1.,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,"URUGUAY","RUSSIAN FEDERATION",165,365,1882,0.,2.356194490192345,1,1,0.019517494819084807,0.0249527533664591,0.015771545113526332,0.19044271135805405,0.12656450513540454,0.09300106631319599,0.318830475432592,0.2109194484616832,"WAR1","SQ",0,1.,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,"None","POLAND",315,290,1924,0.,2.356194490192345,1,1,0.044368641111476335,0.021907175837699345,0.1340747137261713,0.16816932750518984,0.10988434893687954,0.1724047267351587,0.22367428480639182,0.12551678134103322,"WAR1","SQ",0,1.,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,"CHINA","SOUTH AFRICA",710,560,1961,0.,2.356194490192345,1,1,0.03667364265215073,0.004074470551711781,0.17277807079506804,0.15881036520079966,0.07820790106079034,0.15887167015162823,0.22188935991347014,0.16869451967438112,"WAR1","SQ",0,1.,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,"UNITED KINGDOM","EGYPT",200,651,1938,0.,2.356194490192345,1,1,0.08751406094294804,0.014250416821355675,0.16148318840094975,0.14298506449510653,0.09850184264798906,0.1536456345463647,0.18185905158805205,0.1597607405572343,"WAR1","SQ",0,1.,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,"SRI LANKA","FRANCE",780,220,1973,0.,2.356194490192345,1,1,0.01963445428170939,0.031237010893234836,0.017719487113999063,0.20280811813629632,0.12763405202943195,0.10195205446962792,0.3123476385899069,0.18666718448579378,"WAR1","SQ",0,1.,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
11,"SPAIN","FRANCE",230,220,1838,0.,2.356194490192345,1,1,0.1299023916989485,0.03499760157865659,0.14184583367095843,0.213043390647497,0.09937540657415364,0.18255035822537263,0.11210741121833058,0.08617760638608246,"NEGO","SQ",0,0.9999999999999998,0.788579,0.790666,0.002292,0.621914,0.789025,0.789623,0.227129,-0.166015,0.717413,0.715308,0.096948,0.501082,0.716962,0.716361,-0.117729,-0.010616
12,"KENYA","SUDAN",501,625,1972,0.,2.356194490192345,1,1,0.04882856654793549,0.0005568090531845713,0.1808405580403326,0.17538996737059406,0.039284666133024705,0.14966894963682756,0.20960710834064805,0.19582337487745305,"WAR1","SQ",0,1.0000000000000002,-1.109804,0.937469,-1.194783,1.035809,0.763493,-0.107473,0.819344,0.776854,0.085226,-1.477795,0.115907,-2.192313,-1.031581,-0.801575,-1.715418,-1.358159
13,"PANAMA","COSTA RICA",95,94,1963,0.,2.356194490192345,1,1,0.12941265274024116,0.03447865333214166,0.14626833081575405,0.20225130375373393,0.1298022068129332,0.14321675168417458,0.11730389502027984,0.0972662058407415,"NEGO","SQ",0,1.,0.600148,0.602268,0.185232,0.250511,0.601389,0.601208,0.042173,-0.165285,0.655734,0.65362,0.406658,0.067913,0.654496,0.654677,-0.180287,0.112566
14,"CHILE","GERMANY",155,255,1940,0.,2.356194490192345,1,1,0.02613381619048554,0.001261840191157153,0.025800201471092472,0.18422689628521793,0.05621755220567678,0.09926775099940206,0.33602405086576553,0.27106789179120244,"WAR1","SQ",0,0.9999999999999999,-1.620601,0.42347,-1.876093,0.998884,-0.098775,-0.772879,0.348893,0.221147,1.530574,-1.180293,1.9551,-1.631013,0.308731,0.278616,0.282537,0.507897
15,"HONDURAS","FRANCE",91,220,1915,0.,2.356194490192345,1,1,0.024768658591533838,0.0947868110486726,0.003297659943142794,0.2102192883108101,0.15329671913879153,0.056369103761341716,0.3002520902543127,0.1570096689513948,"WAR1","SQ",0,1.,-1.155913,1.176447,-2.14199,1.176254,-1.123439,0.013904,-1.616671,-2.10971,1.208076,-1.137432,1.194386,-1.152808,1.172011,0.048064,1.142944,1.150632
16,"NEW ZEALAND","UNITED KINGDOM",920,200,1978,0.,2.356194490192345,1,1,0.028869781456445445,0.020260334750762457,0.06421836499472743,0.1866771464287977,0.11349409403864608,0.14595536863757377,0.2790800355706864,0.1614448741223606,"WAR1","SQ",0,0.9999999999999999,-0.69389,1.087756,-1.398229,1.019164,-0.167128,0.231994,-0.587889,-0.940059,0.589691,-1.026771,0.424577,-1.315056,0.123689,-0.248997,-0.32971,-0.185568
17,"GAMBIA","JAPAN",420,740,1991,0.,2.356194490192345,1,1,0.032817288520377935,0.0553084929303705,0.019747309681203053,0.22538676754130937,0.12116567918247934,0.12234532549789726,0.2996696073180172,0.1235595293283454,"WAR1","SQ",0,1.,-0.597514,1.723098,-1.581102,1.709737,-0.559427,0.81413,-1.064583,-1.556377,1.349893,-0.981843,0.631023,-1.098851,1.077061,0.250972,0.241183,0.299687
18,"FRANCE","CYPRUS",220,352,1976,0.,2.356194490192345,1,1,0.02832765236984083,0.006334059560177647,0.17635890046766745,0.15422872931229778,0.08753430577412613,0.16634976387786102,0.22533046218884187,0.15553612644918718,"WAR1","SQ",0,1.,-0.63488,1.74545,-1.167679,1.360076,0.477212,0.824858,-0.174562,-0.440962,0.930894,-1.275028,0.664972,-1.952644,-0.563874,-0.224532,-1.507411,-1.168603
19,"JAPAN","FRANCE",740,220,1910,0.,2.356194490192345,1,1,0.030322601208578426,0.015057126552990182,0.08501261452489978,0.16211324388001183,0.10904037009913936,0.14660580097449502,0.27816673802225234,0.17368150473763308,"WAR1","SQ",0,1.,-0.884009,0.884604,-1.54024,0.884485,-0.276015,0.000349,-0.60425,-0.932366,1.257907,-0.598168,1.257725,-1.075223,0.372457,0.397205,-0.10478,0.133747
20,"ECUADOR","COLOMBIA",130,100,1867,0.,2.356194490192345,1,1,0.022713020026485065,0.04510769906548313,0.01339701023651395,0.20202358675247042,0.13762241248046975,0.09247105709452033,0.3109496472632507,0.17571556708080663,"WAR1","SQ",0,1.,-1.074085,1.221335,-1.923679,1.206494,-0.72884,0.098673,-1.168478,-1.593275,1.136732,-1.125524,1.054886,-1.296059,0.750938,0.007422,0.498556,0.583824
21,"None","GERMANY",345,255,1939,0.,2.356194490192345,1,1,0.02347908081485554,0.016237761616294165,0.11405120809856845,0.15112945479957118,0.10804346343476978,0.16374915402592746,0.2750903029424142,0.14821957426759924,"WAR1","SQ",0,1.,-0.749404,1.468104,-1.517147,1.356704,-0.234373,0.479642,-0.729644,-1.113516,1.218852,-0.952929,0.992489,-1.480987,0.072027,0.172026,-0.682394,-0.418365
22,"COLOMBIA","ITALY",100,325,1897,0.,2.356194490192345,1,1,0.02139718330903448,0.027606137733167488,0.01792248086352536,0.18409475806724127,0.13008987051333185,0.09633997527623164,0.3171953940180584,0.20535420021940956,"WAR1","SQ",0,1.,-1.206412,0.804015,-1.927237,0.873574,-0.645151,-0.249158,-0.936005,-1.296418,1.199708,-0.978935,1.384318,-1.237997,0.635304,0.142979,0.560852,0.690383
23,"SAINT KITTS AND NEVIS","CHINA",60,710,1986,0.,2.356194490192345,1,1,0.020524768688543377,0.012193087694307048,0.028423976329129998,0.18860164246471087,0.10583106886466923,0.1086455122352766,0.31795693602388153,0.2178230076994814,"WAR1","SQ",0,1.,-1.316829,1.153217,-1.936298,1.19744,-0.3769,-0.116214,-0.642412,-0.952147,1.362323,-1.205276,1.434487,-1.584321,0.389089,0.116127,0.082208,0.27173
24,"RUSSIAN FEDERATION","MAURITIUS",365,590,1991,0.,2.356194490192345,1,1,0.05901375238854373,0.0005005878611807246,0.23280805864401669,0.16336377549990036,0.041165139224020555,0.14899107497987005,0.180226308270694,0.1739313031317739,"ACQ2","SQ",0,1.,-0.968342,1.214375,-1.105431,1.076654,0.915148,0.159601,0.708882,0.640338,0.908803,-1.152571,0.886956,-2.015682,-0.870393,-0.152637,-1.755352,-1.323796
25,"IRAN, ISLAMIC REPUBLIC OF","UNITED KINGDOM",630,200,1977,0.,2.356194490192345,1,1,0.06634002692909552,0.020314166349175048,0.16620414286837978,0.1616983209741666,0.11304198645658416,0.15929620443340306,0.1799370163118713,0.1331681356773246,"WAR1","SQ",0,1.0000000000000002,-0.08225,0.698139,-0.640202,0.558003,0.26272,0.317015,-0.156392,-0.435368,1.087709,0.306771,0.975449,-0.339113,0.583314,0.720692,-0.174831,0.148111
26,"BANGLADESH","INDIA",771,750,1975,0.,2.356194490192345,1,1,0.07984753250682544,0.03469602352213781,0.10865133936819604,0.18005245983493226,0.11472470583627893,0.17197191785397106,0.19207385963333717,0.1179821614443213,"WAR1","SQ",0,1.,0.003089,0.440195,-0.835079,0.404008,0.073827,0.22361,-0.381445,-0.800529,0.055438,-0.34959,-0.131333,-0.514338,-0.01129,-0.148175,-0.362808,-0.280434
27,"BOLIVIA","BRAZIL",145,140,1908,0.,2.356194490192345,1,1,0.024686062571372014,0.07125964578305241,0.006358630401097263,0.1984407421010325,0.15141026305459585,0.07099243958291632,0.3063812507591025,0.17047096574683127,"WAR1","SQ",0,1.,-1.120338,0.915481,-2.045606,0.925002,-0.968198,-0.127405,-1.421311,-1.883945,0.927622,-1.113661,1.049398,-1.157844,0.837431,-0.11585,0.915024,0.937116
28,"RUSSIAN FEDERATION","ROMANIA",365,360,1906,0.,2.356194490192345,1,1,0.033877918464394474,0.00858288447930814,0.2059500369887763,0.1230564089367554,0.08960278969910372,0.16992877756110011,0.22582274688641388,0.1431784369841479,"WAR1","SQ",0,1.,-0.72834,1.131882,-1.366946,1.044499,-0.056066,0.241795,-0.462752,-0.782055,1.542424,-0.324061,1.480868,-1.069479,0.151113,0.75426,-0.655861,-0.283153
29,"RUSSIAN FEDERATION","IRELAND",365,205,1945,0.,2.356194490192345,1,1,0.05337625580049943,0.0019735252752285247,0.21510309116916881,0.1604313230598855,0.06989648392326109,0.1508856126730868,0.17684790369950956,0.17148580439936037,"ACQ2","SQ",0,1.,-0.614083,1.6828,-0.883629,1.128778,1.063685,0.758463,0.374889,0.240116,1.16416,-1.075691,1.053182,-1.929371,-0.747957,0.058228,-1.712615,-1.285775
