"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"ESTONIA","UNITED KINGDOM",366,200,1939,1.65,5.5,1,1,-0.08110164372345094,-0.07536337727128006,-0.12396217660213507,0.255024905834492,0.2050492071720754,0.2207851286245463,0.3426818004873286,0.25688615547842386,"WAR1","SQ",0,1.,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,"FRANCE","CHILE",220,155,1859,1.65,5.5,1,1,-0.22865302003458537,-0.01340191552313421,-0.4576931130926432,0.39501717995822766,0.17495698566575632,0.3616067669697789,0.37320800701567325,0.3949591090409265,"NEGO","SQ",0,0.9999999999999998,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,"ARGENTINA","FRANCE",160,220,1907,1.65,5.5,1,1,-0.086098874915382,-0.15903745686935677,-0.03748153564844014,0.2718649097450759,0.24638261429117772,0.1511059147730293,0.35102093949892993,0.26224348912496626,"WAR1","SQ",0,1.0000000000000002,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,"SINGAPORE","UNITED STATES",830,2,1982,1.65,5.5,1,1,-0.07403320475534338,-0.09114595372765082,-0.07250928581684137,0.2621120099093744,0.20564904238934142,0.1856839911411696,0.33150593929726985,0.25273746156268034,"WAR1","SQ",0,1.,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,"MALI","MAURITANIA",432,435,1984,1.65,5.5,1,1,-0.3090566174129155,-0.10281208284552082,-0.3900794140946192,0.36950411784337883,0.3024345258907495,0.37838937637499886,0.3795741213927755,0.3720459728511529,"WAR1","SQ",0,1.,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,"URUGUAY","RUSSIAN FEDERATION",165,365,1882,1.65,5.5,1,1,-0.07306869009598109,-0.08261873145654405,-0.06568351818554673,0.250434633345064,0.20287618167090227,0.17337131538056746,0.330536585115237,0.26415222422630125,"WAR1","SQ",0,1.0000000000000002,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,"None","POLAND",315,290,1924,1.65,5.5,1,1,-0.14584728954371612,-0.10248339305236066,-0.253532557771585,0.31047113691407474,0.24969408206719698,0.3144778740956227,0.35999865305778783,0.26722149423297953,"WAR1","SQ",0,1.,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,"CHINA","SOUTH AFRICA",710,560,1961,1.65,5.5,1,1,-0.13009025075755482,-0.04336140222466379,-0.2823657626489041,0.29600042512782115,0.20618878849133987,0.296059295461186,0.352203204793851,0.30536570175692485,"WAR1","SQ",0,1.,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,"UNITED KINGDOM","EGYPT",200,651,1938,1.65,5.5,1,1,-0.23342869319017343,-0.09419527188029998,-0.31708739498600524,0.32538961520524934,0.2690783848596827,0.3376056070240815,0.36819945207346083,0.3444383008940042,"WAR1","SQ",0,0.9999999999999999,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,"SRI LANKA","FRANCE",780,220,1973,1.65,5.5,1,1,-0.07453621451509931,-0.09401402564020729,-0.07080818924583435,0.26318298606616436,0.20721879166426704,0.18476414408229602,0.33213921617867065,0.25205329140974286,"WAR1","SQ",0,1.,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
11,"SPAIN","FRANCE",230,220,1838,1.65,5.5,1,1,-0.33586355851448174,-0.17433053094352016,-0.3509640261776991,0.47120706735254964,0.31898153896245385,0.43509719631631016,0.33912776599543154,0.2967445470089559,"NEGO","SQ",0,1.,0.788579,0.790666,0.002292,0.621914,0.789025,0.789623,0.227129,-0.166015,0.717413,0.715308,0.096948,0.501082,0.716962,0.716361,-0.117729,-0.010616
12,"KENYA","SUDAN",501,625,1972,1.65,5.5,1,1,-0.15618265529905664,-0.016678191593439046,-0.30056868680296306,0.324205807181058,0.1514794276233535,0.2987412450206398,0.35570736621673804,0.3432956876536693,"WAR1","SQ",0,0.9999999999999999,-1.109804,0.937469,-1.194783,1.035809,0.763493,-0.107473,0.819344,0.776854,0.085226,-1.477795,0.115907,-2.192313,-1.031581,-0.801575,-1.715418,-1.358159
