"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR1","Prob_WAR2","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"ESTONIA","UNITED KINGDOM",366,200,1939,0.7853981633974483,0.,0.1,0.1,0.07805597946747678,0.03689530528113785,0.090714847038008,0.17609244269346735,0.14032399180144392,0.16005546834553047,0.17276335481209687,0.14509861056083875,"NEGO","SQ",0,1.,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,"FRANCE","CHILE",220,155,1859,0.7853981633974483,0.,0.1,0.1,0.07257781205460699,0.03745631409034066,0.10224266033321598,0.17579359210117015,0.13434675986321537,0.1634127771416216,0.16418808964105938,0.14998199477476976,"NEGO","SQ",0,0.9999999999999999,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,"ARGENTINA","FRANCE",160,220,1907,0.7853981633974483,0.,0.1,0.1,0.07129174244647489,0.04105014517283316,0.08667523670139375,0.17975738216071474,0.14199378695492357,0.15675930843344002,0.1791031901385229,0.14336920799169697,"NEGO","SQ",0,1.,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,"SINGAPORE","UNITED STATES",830,2,1982,0.7853981633974483,0.,0.1,0.1,0.07589153458637535,0.0381725686672255,0.08553441616723079,0.17882984159347956,0.14151485556002327,0.15879998831537182,0.1752389893210706,0.14601780578922308,"NEGO","SQ",0,1.,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,"MALI","MAURITANIA",432,435,1984,0.7853981633974483,0.,0.1,0.1,0.09148561441653509,0.04353887868720017,0.09020925767119459,0.17351057197085054,0.1390639688282792,0.15949568332765557,0.15956877845009276,0.1431272466481921,"NEGO","SQ",0,1.,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,"URUGUAY","RUSSIAN FEDERATION",165,365,1882,0.7853981633974483,0.,0.1,0.1,0.0750085256858429,0.03724536196490428,0.0859897717344537,0.1779012322048951,0.14188254144071824,0.1579683869127,0.17619493895697963,0.14780924109950624,"NEGO","SQ",0,1.,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,"None","POLAND",315,290,1924,0.7853981633974483,0.,0.1,0.1,0.08384351025645011,0.03935831533814475,0.09165881398390333,0.17735115205362367,0.1392955661059751,0.16214322604821285,0.16572107828371183,0.14062833792997848,"NEGO","SQ",0,1.,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,"CHINA","SOUTH AFRICA",710,560,1961,0.7853981633974483,0.,0.1,0.1,0.07647061997048867,0.039167863733392136,0.09376132771531628,0.17714733983411493,0.1381253762452559,0.1623043660311224,0.16695377253072347,0.14606933393958627,"NEGO","SQ",0,1.,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,"UNITED KINGDOM","EGYPT",200,651,1938,0.7853981633974483,0.,0.1,0.1,0.08231641735662627,0.041633789314379485,0.09305620599340458,0.1774125411360178,0.13914882959313374,0.16010491617520234,0.16222826760544842,0.1440990328257874,"NEGO","SQ",0,1.,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,"SRI LANKA","FRANCE",780,220,1973,0.7853981633974483,0.,0.1,0.1,0.07590277230326825,0.03821165339328593,0.0854393869162305,0.17891282263664524,0.1416370700388921,0.15869680138947437,0.1752857292943583,0.1459137640278454,"NEGO","SQ",0,1.,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
11,"SPAIN","FRANCE",230,220,1838,0.7853981633974483,0.,0.1,0.1,0.08646046335700448,0.0428696178100461,0.09029496287090048,0.18079821629223564,0.1385725703038546,0.16479544011386876,0.1589659683530163,0.1372427608990736,"NEGO","SQ",0,1.,0.788579,0.790666,0.002292,0.621914,0.789025,0.789623,0.227129,-0.166015,0.717413,0.715308,0.096948,0.501082,0.716962,0.716361,-0.117729,-0.010616
