RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
1,ESTONIA,UNITED KINGDOM,366,200,1939,0,0,1,1,0.123013254,0.32999549,0.148533942,0.058262231,0.178288422,0.039877477,0.122029184,ACQ1,SQ,0,1,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,FRANCE,CHILE,220,155,1859,0,0,1,1,0.225442501,0.020811086,0.690046705,0.004337904,0.007545812,0.018914353,0.032901639,ACQ2,SQ,0,1,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,ARGENTINA,FRANCE,160,220,1907,0,0,1,1,0.514429469,0.102327132,0.319658837,0.026045127,0.037532583,2.81E-06,4.04E-06,SQ,SQ,1,1,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,SINGAPORE,UNITED STATES,830,2,1982,0,0,1,1,0.534759059,0.000175835,0.464912238,6.41615E-05,8.61085E-05,1.11E-06,1.49E-06,SQ,SQ,1,1,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,MALI,MAURITANIA,432,435,1984,0,0,1,1,0.357872737,0.109631971,0.407622735,0.011207935,0.014035878,0.044233907,0.055394837,ACQ2,SQ,0,1,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,URUGUAY,RUSSIAN FEDERATION,165,365,1882,0,0,1,1,0.038482459,0.400344607,0.049211446,0.048009343,0.172516901,0.063446484,0.227988762,ACQ1,SQ,0,1,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,None,POLAND,315,290,1924,0,0,1,1,0.483262157,0.044562222,0.432311613,0.016348473,0.021634099,0.000809808,0.001071627,SQ,SQ,1,1,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,CHINA,SOUTH AFRICA,710,560,1961,0,0,1,1,0.237226127,0.037320584,0.626838595,0.003006833,0.006131771,0.02943991,0.06003618,ACQ2,SQ,0,1,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,UNITED KINGDOM,EGYPT,200,651,1938,0,0,1,1,0.429421242,0.032501327,0.500217773,0.002424852,0.003618915,0.012765023,0.019050867,ACQ2,SQ,0,1,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,SRI LANKA,FRANCE,780,220,1973,0,0,1,1,0.540355359,0.00099893,0.457799398,0.000368764,0.000476145,6.13E-07,7.91E-07,SQ,SQ,1,1,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
