RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
1,ESTONIA,UNITED KINGDOM,366,200,1939,0,0,1,1,0.091481546,0.288793695,0.149085118,0.02851711,0.101539601,0.074678506,0.265904426,ACQ1,SQ,0,1,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,FRANCE,CHILE,220,155,1859,0,0,1,1,0.100860326,0.108839678,0.380114037,0.03754441,0.072730948,0.102107732,0.197802869,ACQ2,SQ,0,1,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,ARGENTINA,FRANCE,160,220,1907,0,0,1,1,0.095343688,0.409012423,0.093696726,0.02818612,0.111129069,0.053135457,0.209496517,ACQ1,SQ,0,1,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,SINGAPORE,UNITED STATES,830,2,1982,0,0,1,1,0.089251138,0.311221935,0.13361313,0.030974209,0.102387031,0.077237978,0.255314579,ACQ1,SQ,0,1,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,MALI,MAURITANIA,432,435,1984,0,0,1,1,0.25654639,0.201993324,0.30293926,0.041539358,0.050661815,0.065921426,0.080398427,ACQ2,SQ,0,1,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,URUGUAY,RUSSIAN FEDERATION,165,365,1882,0,0,1,1,0.079905643,0.314835552,0.122519754,0.024274887,0.107200844,0.064855143,0.286408177,ACQ1,SQ,0,1,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,None,POLAND,315,290,1924,0,0,1,1,0.17586386,0.261025153,0.226672836,0.049123083,0.073880544,0.085237826,0.128196698,ACQ1,SQ,0,1,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,CHINA,SOUTH AFRICA,710,560,1961,0,0,1,1,0.115546375,0.185629803,0.268104071,0.036814468,0.084038526,0.094392198,0.215474558,ACQ2,SQ,0,1,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,UNITED KINGDOM,EGYPT,200,651,1938,0,0,1,1,0.227208079,0.21704997,0.284224588,0.039237888,0.058024003,0.070299031,0.103956441,ACQ2,SQ,0,1,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,SRI LANKA,FRANCE,780,220,1973,0,0,1,1,0.089783321,0.315681,0.131650025,0.03125233,0.102665634,0.076770931,0.252196759,ACQ1,SQ,0,1,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
