Agent1,Agent2,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,groundtruth
EST,GBR,0.294146,-1.112666,1.49916,-0.458194,-1.862086,1.425453,-0.906611,-1.281321,0.16449,-1.180503,1.401224,0.293366,-1.609618,1.2333,-0.089115,-0.303673,SQ
FRA,CHL,0.29121,-0.932808,1.363895,1.258553,-0.978674,1.086043,0.957767,0.934834,-0.266488,-1.251184,0.828579,-1.156869,-2.205835,0.815373,-1.647401,-2.124727,SQ
ARG,FRA,-0.269616,-1.231484,0.798387,-1.083964,-2.158809,0.817981,-1.528033,-1.991696,-0.084356,-1.12953,0.99704,0.887538,-1.181022,1.252772,1.117525,1.091779,SQ
SGP,USA,0.005262,-1.103577,1.111636,-0.559527,-1.85798,1.110344,-0.93802,-1.315222,-0.442062,-1.341238,0.624006,0.344677,-1.483373,0.619492,0.269095,0.198028,SQ
MLI,MRT,-0.413568,-0.461125,-0.365659,-0.366977,-0.474926,0.042201,0.033983,0.027082,-0.087882,-0.140975,-0.034699,-0.139362,-1.125794,-0.028421,-0.625493,-1.117903,SQ
URY,RUS,-0.226232,-1.216938,0.857293,-0.57824,-1.909018,0.926954,-0.854618,-1.200658,0.028542,-1.074811,1.118789,0.614269,-1.304808,1.292989,0.67347,0.558471,SQ
xxx,POL,0.639791,-0.087971,1.248564,0.230147,-0.849954,1.096283,-0.303125,-0.684117,0.371671,-0.327111,1.006852,0.391996,-0.788035,0.661956,-0.183362,-0.413824,SQ
CHN,ZAF,0.471432,-0.724756,1.442716,0.51683,-1.151929,1.172668,0.033194,-0.180392,0.047028,-1.004664,1.079331,-0.379765,-1.704808,0.937969,-0.871199,-1.22127,SQ
GBR,EGY,-0.525826,-0.653893,-0.394372,-0.452871,-0.879304,0.012927,-0.158277,-0.270983,-0.133754,-0.283,0.016576,-0.200842,-1.008752,0.160782,-0.419511,-0.782387,SQ
LKA,FRA,0.013537,-1.099253,1.119959,-0.580648,-1.865564,1.116796,-0.966968,-1.350123,-0.430615,-1.335807,0.638327,0.372975,-1.470221,0.626609,0.29405,0.226843,SQ
