Agent1	Agent2	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	predicted	groundtruth
USA	ESP	-0.238012	-1.368436	1.025024	-1.101216	-2.25679	1.051597	-1.51882	-1.962997	-0.575933	-1.511569	0.627684	0.591662	-1.528407	0.861688	0.817247	0.808828	Acq1	Cap2
RUS	TUR	0.988028	-1.020003	1.927677	-0.096173	-1.706594	1.61802	-0.749125	-1.092421	-0.579822	-1.656896	0.888442	-0.4196	-2.170793	0.408159	-1.156832	-1.41378	Nego	Nego
TUR	RUS	-0.427334	-1.33102	0.637847	-0.811174	-2.066987	0.750678	-1.066327	-1.43431	0.975246	-0.42861	1.787894	0.666672	-0.934462	1.99906	0.624912	0.371987	SQ	Acq1
FRA	ESP	0.967477	-0.351335	1.757708	0.238525	-1.071654	1.487123	-0.39222	-0.752379	-0.10165	-1.107474	0.944673	-0.493237	-1.80816	0.655093	-1.13316	-1.483503	SQ	Acq1
xxx	ITA	0.422056	-0.987581	1.552648	0.956377	-1.222313	1.229662	0.516025	0.39866	-0.039594	-1.238072	1.181277	-0.864193	-2.083535	1.116054	-1.352148	-1.774879	Nego	War1
xxx	xxx	0.422056	-0.987581	1.552648	0.735968	-1.30908	1.266283	0.288853	0.128104	-0.120256	-1.277716	1.102967	-0.737215	-2.05068	1.007145	-1.219519	-1.606001	Nego	War1
RUS	TUR	0.96762	-1.032357	1.923335	-0.074744	-1.708368	1.609837	-0.726248	-1.064253	-0.660493	-1.679992	0.783882	-0.311532	-2.124583	0.246456	-1.071253	-1.293548	Nego	Cap1
FRA	ESP	1	-0.321995	1.773243	0.289939	-1.029936	1.481183	-0.356091	-0.710061	-0.09605	-1.104223	0.950486	-0.547455	-1.833251	0.679515	-1.182941	-1.547455	SQ	War1
GBR	ESP	0.054882	-1.053236	1.137833	0.681901	-1.261323	1.094371	0.534396	0.430353	0.137616	-1.003923	1.214019	-0.65789	-1.847908	1.205456	-1.088445	-1.510437	Nego	Cap2
ITA	TUR	0.438783	-0.765415	1.429697	-0.097559	-1.461168	1.296199	-0.578934	-0.92681	-0.126439	-1.121802	0.918739	0.124071	-1.511242	0.650835	-0.338552	-0.533272	Nego	War1
RUS	TUR	-0.403342	-1.350302	0.710658	0.435091	-1.48401	1.06007	0.717648	0.650794	0.03642	-1.122825	1.17716	-0.488078	-1.846846	1.288474	-0.738775	-1.100785	War1	Acq1
GBR	TUR	0.957558	-0.713771	1.854426	0.199628	-1.358113	1.513863	-0.463106	-0.785277	-0.258109	-1.391727	1.022268	-0.692227	-2.101958	0.744798	-1.324813	-1.679929	SQ	War1
FRA	TUR	0.943301	-0.724426	1.849471	0.272432	-1.337131	1.484135	-0.399257	-0.705609	-0.258109	-1.391727	1.022268	-0.757424	-2.128966	0.774406	-1.373906	-1.742526	SQ	War1
RUS	TUR	0.945221	-0.722998	1.850144	0.222663	-1.355485	1.502764	-0.440961	-0.757205	-0.258109	-1.391727	1.022268	-0.728983	-2.117184	0.762765	-1.351215	-1.713944	SQ	War1
RUS	TUR	0.945221	-0.722998	1.850144	0.222663	-1.355485	1.502764	-0.440961	-0.757205	-0.258109	-1.391727	1.022268	-0.728983	-2.117184	0.762765	-1.351215	-1.713944	SQ	War1
FRA	TUR	0.950702	-0.658588	1.836787	0.378313	-1.243058	1.441743	-0.308966	-0.601202	-0.189831	-1.32803	1.052521	-0.808208	-2.109668	0.844924	-1.406624	-1.797443	SQ	Cap2
GRC	TUR	-0.828427	-1.535534	0.129171	-0.219411	-1.74493	0.784129	0.33085	0.226152	-0.186663	-1.225903	0.935913	-0.007534	-1.662317	1.402803	0.241149	0.022942	War1	War1
DEU	FRA	0.053623	-1.117999	1.19758	-0.177645	-1.7119	1.175804	-0.496372	-0.793323	0.975513	-0.497404	1.808213	-0.068199	-1.311248	1.798231	-0.485104	-0.892026	SQ	Acq1
GBR	FRA	0.038837	-1.054849	1.115089	0.214658	-1.469806	1.092368	-0.015542	-0.223021	0.218362	-0.945921	1.277808	-0.296161	-1.653727	1.26646	-0.661412	-1.015315	Nego	Acq1
GBR	PRT	0.038837	-0.140103	0.217328	0.121711	-0.407615	0.18888	-0.040493	-0.174249	0.181916	-0.002466	0.364062	0.091438	-0.746268	0.354112	-0.290413	-0.662314	Nego	Acq1
NLD	BEL	0.173664	-0.936406	1.207013	-0.250781	-1.616532	1.151462	-0.646395	-0.986458	0.118089	-0.971318	1.156397	0.148894	-1.444832	1.064965	-0.179295	-0.416052	Nego	War1
FRA	PRT	0.218362	-0.929487	1.264343	-0.373617	-1.676108	1.209015	-0.802255	-1.175566	0.181916	-0.952422	1.232483	0.303407	-1.377647	1.106974	-0.034714	-0.247327	Nego	Cap2
DEU	BEL	0.185979	-1.115615	1.374215	-0.458935	-1.85187	1.325164	-0.876113	-1.244241	0.145931	-1.137188	1.341322	0.30489	-1.555355	1.233114	-0.012402	-0.221485	Nego	Acq1
DEU	FRA	0.185979	-1.175486	1.423024	-0.578911	-1.945902	1.380327	-1.006817	-1.392025	0.214708	-1.160722	1.445143	0.329515	-1.588844	1.338786	0.009097	-0.204964	Nego	Cap1
GBR	RUS	0.027288	-1.182175	1.221513	0.038788	-1.674221	1.207652	-0.221096	-0.467119	0.274108	-1.047479	1.428726	-0.206055	-1.707675	1.419453	-0.545426	-0.875524	Nego	Acq1
GBR	TUR	-0.079934	-1.322461	1.212641	0.208015	-1.718747	1.260898	0.058129	-0.140015	0.367447	-1.101772	1.568729	-0.39191	-1.835956	1.589977	-0.737754	-1.104846	Nego	Acq1
