predicted,groundtruth
WAR1,WAR1
CAP2,CAP2
SQ,SQ
WAR1,WAR1
CAP1,CAP1
WAR2,WAR2
SQ,SQ
NEGO,SQ
WAR1,WAR1
ACQ2,ACQ2
CAP1,CAP1
ACQ2,WAR1
WAR1,CAP1
CAP1,CAP1
WAR2,WAR2
CAP1,SQ
CAP2,CAP2
WAR2,WAR2
WAR1,WAR2
CAP1,CAP1
NEGO,NEGO
SQ,SQ
ACQ2,ACQ2
WAR2,WAR2
ACQ1,CAP2
NEGO,NEGO
NEGO,NEGO
ACQ2,ACQ2
WAR2,WAR2
CAP2,CAP2
SQ,SQ
ACQ1,ACQ1
ACQ2,CAP2
ACQ2,ACQ2
NEGO,NEGO
SQ,SQ
CAP2,CAP2
ACQ1,ACQ1
ACQ1,ACQ1
NEGO,CAP1
CAP1,CAP1
WAR1,WAR1
ACQ2,ACQ2
WAR2,WAR2
CAP1,CAP2
CAP2,CAP2
WAR2,WAR2
WAR1,WAR1
NEGO,NEGO
NEGO,NEGO
WAR1,WAR1
NEGO,NEGO
CAP1,CAP1
CAP2,CAP2
WAR1,WAR1
CAP2,CAP2
WAR2,WAR2
ACQ1,ACQ1
ACQ2,CAP1
SQ,SQ
NEGO,CAP1
CAP2,WAR1
WAR1,SQ
CAP2,ACQ1
WAR1,WAR1
ACQ2,ACQ2
CAP2,CAP2
ACQ1,ACQ1
CAP2,CAP2
NEGO,NEGO
ACQ2,ACQ2
ACQ2,ACQ2
SQ,ACQ1
ACQ2,ACQ2
SQ,SQ
ACQ1,ACQ2
SQ,CAP2
CAP2,CAP2
CAP1,WAR1
ACQ2,CAP2
CAP1,WAR1
CAP2,CAP2
SQ,SQ
WAR2,WAR2
WAR1,WAR1
CAP1,CAP1
NEGO,NEGO
WAR1,ACQ1
CAP2,CAP2
NEGO,ACQ2
WAR2,WAR2
CAP2,CAP2
CAP2,ACQ2
NEGO,NEGO
NEGO,NEGO
SQ,NEGO
ACQ2,ACQ2
CAP2,CAP2
WAR2,NEGO
SQ,SQ
WAR1,WAR1
ACQ2,ACQ2
SQ,ACQ2
CAP2,CAP2
WAR1,ACQ2
ACQ2,ACQ2
NEGO,NEGO
CAP2,CAP2
SQ,NEGO
WAR1,WAR1
WAR2,WAR2
WAR1,WAR1
WAR2,WAR2
NEGO,NEGO
WAR1,WAR1
CAP2,CAP2
ACQ1,ACQ1
NEGO,NEGO
WAR2,WAR2
SQ,SQ
WAR1,WAR2
SQ,SQ
ACQ2,ACQ2
WAR2,WAR1
SQ,SQ
CAP1,WAR2
ACQ2,ACQ2
ACQ1,ACQ1
CAP2,CAP2
CAP2,CAP2
CAP2,CAP2
SQ,SQ
ACQ1,ACQ1
SQ,SQ
WAR1,WAR1
SQ,SQ
ACQ1,ACQ1
ACQ1,ACQ1
WAR1,WAR1
ACQ1,ACQ1
CAP2,WAR2
ACQ1,ACQ1
CAP2,CAP2
WAR2,WAR2
WAR2,WAR2
ACQ2,WAR1
CAP1,CAP1
CAP1,CAP1
ACQ1,ACQ1
WAR2,WAR2
NEGO,CAP1
CAP1,CAP1
ACQ2,ACQ1
CAP1,CAP1
SQ,SQ
CAP1,ACQ2
WAR1,WAR1
NEGO,ACQ2
ACQ1,ACQ1
CAP2,CAP2
WAR1,WAR1
ACQ1,ACQ1
WAR2,WAR2
SQ,CAP2
WAR2,ACQ2
WAR2,ACQ1
WAR2,WAR2
WAR1,WAR1
WAR1,WAR1
NEGO,NEGO
WAR2,WAR2
SQ,SQ
CAP1,CAP1
CAP2,CAP2
WAR2,WAR2
NEGO,NEGO
CAP1,CAP1
CAP1,CAP1
ACQ1,ACQ1
CAP1,CAP1
SQ,SQ
WAR1,WAR1
CAP1,NEGO
CAP1,CAP1
CAP2,ACQ1
SQ,SQ
ACQ2,ACQ2
WAR1,WAR1
ACQ2,WAR1
NEGO,NEGO
WAR1,WAR1
CAP1,CAP1
ACQ1,ACQ1
WAR1,WAR1
CAP1,WAR1
CAP1,ACQ2
ACQ2,ACQ2
CAP2,CAP2
SQ,SQ
CAP1,CAP1
WAR1,WAR1
WAR2,WAR2
SQ,WAR1
ACQ1,ACQ1
CAP2,CAP2
SQ,SQ
WAR2,WAR2
CAP2,CAP2
NEGO,NEGO
SQ,SQ
WAR1,WAR1
SQ,WAR1
SQ,SQ
WAR1,WAR1
CAP1,CAP1
SQ,SQ
CAP2,CAP2
SQ,SQ
WAR2,WAR2
WAR1,WAR1
CAP1,CAP1
NEGO,CAP1
NEGO,NEGO
CAP2,CAP2
ACQ2,ACQ2
ACQ2,ACQ2
WAR1,SQ
NEGO,NEGO
ACQ1,ACQ1
SQ,SQ
NEGO,NEGO
CAP2,CAP2
WAR1,CAP2
CAP2,CAP2
CAP2,CAP2
ACQ1,CAP2
NEGO,NEGO
NEGO,NEGO
CAP1,CAP1
WAR1,WAR2
ACQ2,ACQ2
WAR1,WAR1
CAP2,CAP2
ACQ1,ACQ1
WAR1,WAR1
NEGO,NEGO
ACQ1,ACQ1
ACQ1,ACQ1
ACQ1,ACQ1
CAP1,CAP1
NEGO,NEGO
ACQ1,ACQ1
CAP2,CAP2
SQ,SQ
ACQ1,ACQ1
CAP1,CAP1
CAP2,WAR1
NEGO,NEGO
WAR2,WAR2
CAP1,CAP1
ACQ1,ACQ1
NEGO,NEGO
SQ,SQ
ACQ1,ACQ1
CAP1,CAP1
NEGO,ACQ2
SQ,CAP2
WAR2,WAR2
WAR1,WAR1
WAR1,CAP1
ACQ2,NEGO
WAR2,WAR2
SQ,WAR2
WAR2,WAR2
ACQ1,ACQ1
CAP2,CAP2
ACQ1,ACQ1
CAP2,NEGO
ACQ1,ACQ1
SQ,ACQ2
CAP2,CAP2
CAP2,CAP2
NEGO,NEGO
WAR1,WAR1
CAP2,ACQ2
CAP2,CAP1
CAP2,ACQ1
SQ,SQ
ACQ1,ACQ1
WAR2,WAR2
ACQ1,ACQ1
CAP1,CAP1
ACQ1,ACQ1
ACQ2,ACQ2
ACQ2,ACQ2
NEGO,CAP2
CAP2,NEGO
WAR1,WAR1
SQ,SQ
WAR2,WAR2
ACQ1,ACQ1
CAP2,ACQ1
WAR2,CAP1
NEGO,NEGO
ACQ2,ACQ2
SQ,SQ
CAP2,CAP2
ACQ2,ACQ2
ACQ2,WAR2
NEGO,NEGO
WAR2,WAR2
ACQ1,WAR1
CAP2,CAP2
WAR1,WAR1
CAP1,CAP1
WAR2,WAR2
CAP1,CAP1
ACQ1,ACQ1
WAR1,WAR1
CAP1,NEGO
WAR2,WAR2
WAR2,SQ
ACQ1,CAP2
ACQ2,ACQ2
CAP2,NEGO
NEGO,NEGO
ACQ2,CAP1
WAR1,WAR1
WAR2,WAR2
WAR2,WAR2
SQ,ACQ1
ACQ1,ACQ1
CAP2,CAP2
ACQ2,CAP1
NEGO,NEGO
WAR2,WAR2
SQ,SQ
CAP1,CAP1
CAP2,CAP2
WAR2,CAP2
CAP1,CAP1
CAP2,CAP2
CAP1,CAP1
CAP2,ACQ2
ACQ2,CAP1
WAR1,WAR1
WAR1,CAP1
CAP2,CAP2
ACQ2,WAR2
WAR1,WAR1
CAP2,CAP2
ACQ1,ACQ1
ACQ1,ACQ1
WAR2,WAR2
WAR2,WAR2
WAR1,WAR1
ACQ2,ACQ2
WAR2,WAR2
ACQ1,ACQ1
CAP1,CAP1
CAP2,CAP2
ACQ1,ACQ1
NEGO,ACQ1
ACQ2,ACQ2
WAR1,WAR1
WAR1,WAR1
NEGO,NEGO
WAR1,ACQ2
CAP1,CAP1
WAR1,WAR1
CAP2,CAP2
ACQ2,WAR2
ACQ2,ACQ2
WAR2,WAR2
CAP1,ACQ1
CAP2,CAP2
CAP2,CAP2
ACQ1,ACQ1
ACQ2,ACQ2
ACQ1,ACQ1
WAR2,WAR2
CAP1,NEGO
ACQ2,CAP2
SQ,SQ
SQ,SQ
WAR2,WAR2
CAP1,CAP1
WAR1,WAR1
ACQ1,ACQ1
NEGO,ACQ1
CAP1,CAP1
SQ,CAP1
WAR2,WAR2
WAR2,WAR2
CAP1,CAP1
CAP2,CAP2
CAP2,WAR2
NEGO,NEGO
CAP1,WAR2
ACQ1,ACQ1
SQ,WAR2
CAP2,CAP2
ACQ2,CAP1
ACQ1,ACQ1
WAR2,WAR2
CAP2,CAP2
WAR2,NEGO
SQ,WAR2
CAP2,CAP2
NEGO,NEGO
WAR1,CAP1
ACQ1,WAR2
CAP1,NEGO
ACQ1,ACQ1
CAP1,CAP1
ACQ1,ACQ1
SQ,SQ
ACQ2,ACQ2
WAR2,WAR2
NEGO,NEGO
ACQ2,ACQ2
ACQ2,ACQ2
NEGO,NEGO
CAP1,CAP1
WAR2,WAR2
SQ,SQ
ACQ1,ACQ1
CAP2,CAP2
ACQ1,ACQ1
CAP2,CAP2
ACQ1,ACQ1
NEGO,NEGO
WAR2,SQ
WAR2,WAR2
CAP2,CAP2
WAR2,WAR2
WAR2,WAR2
WAR2,WAR2
WAR1,WAR1
CAP1,CAP1
ACQ1,ACQ1
WAR2,WAR2
ACQ1,ACQ1
WAR2,WAR2
CAP2,CAP2
CAP1,CAP1
CAP1,CAP1
NEGO,NEGO
WAR1,WAR1
NEGO,NEGO
NEGO,NEGO
NEGO,NEGO
NEGO,NEGO
NEGO,NEGO
WAR1,SQ
CAP1,CAP1
NEGO,NEGO
WAR2,WAR2
ACQ2,CAP1
CAP2,CAP1
ACQ2,ACQ2
SQ,SQ
NEGO,NEGO
ACQ1,ACQ1
CAP2,CAP2
WAR1,WAR1
WAR2,WAR2
ACQ1,ACQ1
SQ,SQ
CAP2,CAP2
NEGO,SQ
WAR2,WAR2
CAP1,CAP1
NEGO,CAP2
CAP1,CAP1
ACQ2,WAR2
ACQ1,ACQ1
WAR2,WAR2
WAR1,ACQ1
CAP2,CAP2
CAP2,CAP2
SQ,NEGO
SQ,SQ
NEGO,NEGO
SQ,SQ
NEGO,NEGO
NEGO,CAP1
CAP2,CAP2
